"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Insurance services","5",55500000,"Insurance services","5",55500000
"Transportation","1",51600000,"Transportation","1",51600000
"Computer and information services","7",26600000,"Computer and information services","7",26600000
