"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Other business services","9",1486866665,"Other business services","9",1486866665
"Transportation","1",672372922,"Transportation","1",672372922
"Government services, n.i.e.","11",289928047,"Government services, n.i.e.","11",289928047
"Travel","2",209347434,"Personal travel","2.2",208728696
"Construction services","4",202285882,"Construction services","4",202285882
"Insurance services","5",88254508,"Insurance services","5",88254508
"Personal, cultural, and recreational services","10",5147535,"Personal, cultural, and recreational services","10",5147535
"Travel","2",209347434,"Business travel","2.1",618737
"Royalties and license fees","8",475375,"Royalties and license fees","8",475375
