"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Transportation","1",3611626425,"Transportation","1",3611626425
"Other business services","9",3233016166,"Other business services","9",3233016166
"Construction services","4",2277341366,"Construction services","4",2277341366
"Government services, n.i.e.","11",484969262,"Government services, n.i.e.","11",484969262
"Travel","2",475256311,"Personal travel","2.2",443026109
"Insurance services","5",171722002,"Insurance services","5",171722002
"Royalties and license fees","8",152906916,"Royalties and license fees","8",152906916
"Travel","2",475256311,"Business travel","2.1",32230202
"Personal, cultural, and recreational services","10",6912402,"Personal, cultural, and recreational services","10",6912402
