"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Travel","2",2041600000,"Personal travel","2.2",2041600000
"Transportation","1",1297500000,"Transportation","1",1297500000
"Insurance services","5",1157200000,"Insurance services","5",1157200000
"Government services, n.i.e.","11",534900000,"Government services, n.i.e.","11",534900000
"Computer and information services","7",31400000,"Computer and information services","7",31400000
