Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products,31520,Glycerol,2019,33322,-0.432014591,-25345,58667,67324,298495,-43.20145908,-25345,-50.5050205,-34002,-88.83666393,-265173
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products,31521,Waxes,2019,6487,359.3888889,6469,18,3809,0.1,35938.88889,6469,70.30716724,2678,100,6487
3,Animal and Vegetable Bi-Products,315,Animal or vegetable fats and oils and their cleavage products,31522,Fat and Oil Residues,2019,478333,7.757469791,423713,54620,17212,18166,775.7469791,423713,2679.06693,461121,2533.122316,460167
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41601,Sausages,2019,1124123,0.980034488,556394,567729,209317,83894,98.00344883,556394,437.0433362,914806,1239.932534,1040229
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41602,Other Prepared Meat,2019,861336,0.61399222,327668,533668,105925,96739,61.39922199,327668,713.1564786,755411,790.3709983,764597
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41603,Animal Extracts,2019,96464,-0.5605545,-123049,219513,87304,48278,-56.05545002,-123049,10.49207367,9160,99.80943701,48186
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,Processed Fish,2019,32483877,0.313331979,7749935,24733942,26876210,32383576,31.33319792,7749935,20.86479827,5607667,0.309727993,100301
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,Processed Crustaceans,2019,15775301,-0.380581055,-9692601,25467902,459322,918422,-38.05810545,-9692601,3334.475379,15315979,1617.652778,14856879
4,Foodstuffs,417,Sugars and sugar confectionery,41701,Raw Sugar,2019,20706717,-0.683750073,-44769083,65475800,50552244,827173,-68.37500725,-44769083,-59.0389756,-29845527,2403.31152,19879544
4,Foodstuffs,417,Sugars and sugar confectionery,41702,Other Sugars,2019,2245169,0.061952834,130980,2114189,1684735,841729,6.195283392,130980,33.26540969,560434,166.7329984,1403440
4,Foodstuffs,417,Sugars and sugar confectionery,41703,Molasses,2019,1332997,-0.150026143,-235283,1568280,918672,786602,-15.00261433,-235283,45.10042757,414325,69.46270159,546395
4,Foodstuffs,417,Sugars and sugar confectionery,41704,Confectionery Sugar,2019,15967872,0.381234744,4407294,11560578,11194895,15338737,38.12347445,4407294,42.63529939,4772977,4.101608887,629135
4,Foodstuffs,418,Cocoa and cocoa preparations,41803,Cocoa Paste,2019,813,-0.963274156,-21324,0.1,0.1,22137,100,813,100,813,-96.32741564,-21324
4,Foodstuffs,418,Cocoa and cocoa preparations,41805,Cocoa Powder,2019,15980,1.902288413,10474,5506,15245,98481,190.2288413,10474,4.82125287,735,-83.77351977,-82501
4,Foodstuffs,418,Cocoa and cocoa preparations,41806,Chocolate,2019,6047277,0.367103176,1623853,4423424,5104660,32012335,36.71031762,1623853,18.46581359,942617,-81.10954106,-25965058
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,Malt Extract,2019,6891826,2.684268599,5021217,1870609,4417803,3623340,268.4268599,5021217,56.00120693,2474023,90.20643936,3268486
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,Pasta,2019,37089856,-0.084035557,-3402825,40492681,37385153,29974625,-8.403555694,-3402825,-0.789877736,-295297,23.73751465,7115231
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,Prepared Cereals,2019,241848,-0.299545577,-103425,345273,452204,1589063,-29.9545577,-103425,-46.51794323,-210356,-84.78046497,-1347215
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,Baked Goods,2019,32310341,0.241976096,6295073,26015268,29716354,46162847,24.19760965,6295073,8.729156343,2593987,-30.00791091,-13852506
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,Pickled Foods,2019,340254,0.196851114,55963,284291,965252,2366861,19.68511138,55963,-64.74972339,-624998,-85.62425085,-2026607
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,Processed Tomatoes,2019,6342512,-0.276475004,-2423615,8766127,15817782,4591687,-27.64750043,-2423615,-59.90264627,-9475270,38.13032117,1750825
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,Processed Mushrooms,2019,40284,10.81348974,36874,3410,0.1,1298,1081.348974,36874,100,40284,3003.543914,38986
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,Other Frozen Vegetables,2019,241083,-0.10507814,-28307,269390,470489,280095,-10.50781395,-28307,-48.75905707,-229406,-13.92813153,-39012
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,Other Processed Vegetables,2019,3752154,-0.251103091,-1258087,5010241,5112292,5989908,-25.11030906,-1258087,-26.60524868,-1360138,-37.3587374,-2237754
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,Sugar Preserved Foods,2019,100060,-0.122326895,-13946,114006,177058,156119,-12.23268951,-13946,-43.48744479,-76998,-35.90786515,-56059
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,Jams,2019,763305,3.207994752,581911,181394,581276,207281,320.7994752,581911,31.31541643,182029,268.2464867,556024
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,Other Processed Fruits and Nuts,2019,3421832,0.467264922,1089716,2332116,1828017,2246522,46.72649216,1089716,87.18819355,1593815,52.31687026,1175310
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,Fruit Juice,2019,1341949,-0.658182808,-2583977,3925926,1349376,2380122,-65.81828083,-2583977,-0.550402556,-7427,-43.61847838,-1038173
4,Foodstuffs,421,Miscellaneous edible preparations,42101,Coffee and Tea Extracts,2019,52775,-0.070568138,-4007,56782,7813,10245,-7.056813779,-4007,575.4767695,44962,415.1293314,42530
4,Foodstuffs,421,Miscellaneous edible preparations,42102,Yeast,2019,5000051,-0.302610914,-2169621,7169672,5297026,3984440,-30.26109144,-2169621,-5.606447845,-296975,25.48942888,1015611
4,Foodstuffs,421,Miscellaneous edible preparations,42103,Sauces and Seasonings,2019,17244018,-0.076786752,-1434243,18678261,16482874,12060016,-7.678675226,-1434243,4.617786922,761144,42.98503418,5184002
4,Foodstuffs,421,Miscellaneous edible preparations,42104,Soups and Broths,2019,109900,-0.692277538,-247240,357140,149192,187574,-69.22775382,-247240,-26.33653279,-39292,-41.40979027,-77674
4,Foodstuffs,421,Miscellaneous edible preparations,42105,Ice Cream,2019,814355,0.97717048,402476,411879,733315,984601,97.71704797,402476,11.05118537,81040,-17.29086198,-170246
