"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Transportation","1",963863121,"Other transport","1.3",963863121
"Insurance services","5",193940061,"Insurance services","5",193940061
"Other business services","9",163288977,"Other business services","9",163288977
"Travel","2",194642398,"Business travel","2.1",153938878
"Government services, n.i.e.","11",102793246,"Government services, n.i.e.","11",102793246
"Construction services","4",44885453,"Construction in the compiling economy","4.2",44885453
"Computer and information services","7",9530511,"Computer and information services","7",9530511
"Financial services","6",3050357,"Financial services","6",3050357
"Personal, cultural, and recreational services","10",79455,"Other personal, cultural, and recreational services","10.2",79455
